Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted,Round,Draft_Outcome,Player_Code,Game Played,Pass Att,Pass Comp,Pass Yard,Pass Int,Pass TD,Rush Att,Rush Yard,Rush TD
67,2013,E.J. Manuel,QB,11,Florida State,College Stats,77,237,4.65,34,0,118,7.08,4.21,Buffalo Bills ,1,drafted,1016260,40,22.425,15,193.1,0.7,1.175,7.425,20.8,0.275
134,2008,Erik Ainge,QB,0,Tennessee,College Stats,77,225,4.98,21.5,0,108,7.51,4.6,New York Jets ,5,drafted,75071,34,29.76470588,18.35294118,213.1764706,0.764705882,1.617647059,1.970588235,-6.058823529,0.029411765
151,2006,Erik Meyer,QB,0,Eastern Washington,0,73,210,4.67,32.5,0,112,6.83,4.12,0,8,undrafted,33004,1,37,23,372,1,2,6,-18,0
82,2015,Garrett Grayson,QB,0,Colorado State,College Stats,74,213,4.75,0,0,0,0,0,New Orleans Saints ,3,drafted,1039138,24,28.875,17.41666667,216,0.833333333,1.333333333,6.416666667,14.16666667,0.166666667
36,2013,Geno Smith,QB,16,West Virginia,College Stats,74,218,4.58,33.5,0,124,0,0,New York Jets ,2,drafted,1027036,44,33.18181818,22.36363636,264.8863636,0.477272727,2.227272727,5.636363636,8.136363636,0.090909091
84,2009,Graham Harrell,QB,0,Texas Tech,College Stats,74,223,4.95,29.5,0,98,7.45,4.56,0,8,undrafted,85839,45,44.68888889,31.17777778,350.9555556,0.755555556,2.977777778,2.511111111,-4.044444444,0.266666667
65,2011,Greg McElroy,QB,1,Alabama,College Stats,74,220,4.84,33,0,107,7.11,4.45,New York Jets ,7,drafted,1000032,32,20.5625,13.625,177.84375,0.3125,1.21875,3.5625,2.21875,0.0625
114,2009,Hunter Cantwell,QB,0,Louisville,College Stats,76,235,5.22,26,0,99,7.4,4.59,0,8,undrafted,82433,27,19.77777778,11.59259259,144.8888889,0.851851852,0.962962963,2.074074074,-6.777777778,0.037037037
18,2007,Isaiah Stanback,QB,0,Washington,College Stats,74,216,4.6,0,22,0,0,0,Dallas Cowboys ,4,drafted,56783,18,25.16666667,13.55555556,192.2777778,0.5,1.055555556,10.27777778,39.05555556,0.5
122,2016,Jacoby Brissett,QB,12,North Carolina State,College Stats,76,231,4.94,31,0,113,7.17,4.53,New England Patriots ,3,drafted,1039437,10,7.4,4.1,45.5,0.4,0.3,2,0.3,0.3
152,2012,Jacory Harris,QB,0,Miami (FL),College Stats,75,203,4.65,37,0,113,7.1,4.4,0,8,undrafted,1017016,47,24.89361702,14.95744681,187.787234,1.021276596,1.489361702,3.723404255,-0.063829787,0.106382979
71,2011,Jake Locker,QB,16,Washington,College Stats,74,231,4.51,35,0,120,6.77,4.12,Tennessee Titans ,1,drafted,1004473,40,28.7,15.475,190.975,0.875,1.325,11.35,48.475,0.725
29,2007,JaMarcus Russell,QB,6,LSU,College Stats,77,265,4.83,0,0,0,0,0,Oakland Raiders ,1,drafted,62595,25,26.12,16.8,222.88,0.68,1.72,4.52,4.8,0.12
3,2015,Jameis Winston,QB,35,Florida State,College Stats,76,231,4.97,28.5,0,103,7.16,4.36,Tampa Bay Buccaneers ,1,drafted,1047159,14,27.42857143,18.35714286,289.7857143,0.714285714,2.857142857,6.285714286,15.64285714,0.285714286
159,2007,James Pinkney,QB,0,East Carolina,College Stats,74,208,4.79,34,0,112,7.35,4.49,0,8,undrafted,56377,24,31.79166667,18.91666667,231.5,0.75,1.083333333,8.333333333,17.04166667,0.458333333
152,2013,James Vandenberg,QB,0,Iowa,College Stats,75,226,4.92,32,0,116,6.95,4.52,0,8,undrafted,1016628,32,27.75,15.84375,180.8125,0.625,1.09375,4.9375,2.09375,0.21875
89,2016,Jared Goff,QB,13,California,College Stats,76,215,4.82,27,0,110,7.17,4.47,Los Angeles Rams ,1,drafted,1054652,12,44.08333333,26.5,290.6666667,0.833333333,1.5,4.916666667,-5.166666667,0.083333333
111,2007,Jared Zabransky,QB,0,Boise State,College Stats,74,219,4.56,35.5,0,111,6.78,4.08,0,8,undrafted,45864,26,24.23076923,15.11538462,198.0384615,0.923076923,1.576923077,7.884615385,17.65384615,0.653846154
112,2010,Jarrett Brown,QB,0,West Virginia,College Stats,75,224,4.5,34.5,0,114,7.24,4.39,0,8,undrafted,84040,32,13.15625,8.375,93.21875,0.40625,0.5,7.3125,35.5625,0.40625
98,2006,Jay Cutler,QB,109,Vanderbilt,College Stats,75,226,4.77,0,23,0,7.1,4.26,Denver Broncos ,1,drafted,41009,11,42,24.81818182,279.3636364,0.818181818,1.909090909,9.636363636,19.54545455,0.090909091
99,2016,Jeff Driskel,QB,0,Louisiana Tech,College Stats,76,234,4.56,32,0,122,7.19,4.25,San Francisco 49ers ,6,drafted,1039436,20,17,10.7,113.55,0.5,0.7,7.55,23.2,0.25
31,2007,Jeff Rowe,QB,0,Nevada,College Stats,77,226,4.91,29.5,0,114,7.16,4.42,Cincinnati Bengals ,5,drafted,49736,24,27.29166667,17.20833333,201.3333333,0.75,1.583333333,8.833333333,18.83333333,0.416666667
83,2011,Jerrod Johnson,QB,0,Texas A&M,College Stats,77,251,4.75,29,0,119,7.28,4.31,0,8,undrafted,1003643,37,29.97297297,17.56756757,216.5135135,0.72972973,1.810810811,8.945945946,23.7027027,0.432432432
156,2015,Jerry Lovelocke,QB,0,Prairie View A&M,0,76,248,4.99,31.5,0,113,7.3,4.51,0,8,undrafted,1060188,1,27,16,109,0,0,0,0,0
129,2010,Jevan Snead,QB,0,Mississippi,College Stats,75,219,5.04,33,0,106,7.08,4.33,0,8,undrafted,1003781,31,23.4516129,12.93548387,185.9677419,1.129032258,1.548387097,4.35483871,8.483870968,0.225806452
102,2010,Jimmy Clausen,QB,3,Notre Dame,College Stats,75,222,4.76,0,0,0,0,0,Carolina Panthers ,2,drafted,1010448,35,31.71428571,19.85714286,232.8,0.771428571,1.714285714,5,-10.14285714,0.142857143
103,2014,Jimmy Garoppolo,QB,8,Eastern Illinois,0,74,226,4.97,30.5,0,110,7.04,4.26,New England Patriots ,2,drafted,1035232,4,38,23.5,311.25,1.25,2.75,6.5,-7,0
92,2008,Joe Flacco,QB,106,Delaware,College Stats,78,236,4.84,28.5,0,110,6.82,4.27,Baltimore Ravens ,1,drafted,1012671,1,41,30,434,0,4,2,-14,0
24,2016,Joel Stave,QB,0,Wisconsin,College Stats,77,236,4.8,33.5,0,115,7.29,4.33,0,8,undrafted,1042573,21,21.66666667,13.23809524,171.3333333,0.761904762,1.333333333,2.714285714,-3.571428571,0.047619048
105,2007,John Beck,QB,4,BYU,College Stats,74,215,4.75,29.5,0,111,6.81,4.17,Miami Dolphins ,2,drafted,79667,24,38.75,25.83333333,316.4166667,0.875,2.458333333,5.125,2.208333333,0.333333333
122,2008,John David Booty,QB,0,Southern California,College Stats,74,218,4.82,22.5,0,99,0,4.58,0,8,undrafted,56615,31,26.32258065,16.41935484,193.1612903,0.677419355,1.774193548,1.935483871,-5.483870968,0.064516129
1,2009,John Parker Wilson,QB,0,Alabama,College Stats,73,219,4.75,29.5,0,105,7.53,4.59,0,8,undrafted,84902,45,26.11111111,14.77777778,176.0888889,0.666666667,1.044444444,5.288888889,3.888888889,0.244444444
124,2007,John Stocco,QB,0,Wisconsin,College Stats,74,207,5.08,27,0,104,7.29,4.6,0,8,undrafted,44444,24,24.83333333,14.79166667,212.7083333,0.625,1.583333333,5.583333333,-4.625,0.125
64,2014,Johnny Manziel,QB,5,Texas A&M,College Stats,73,207,4.68,31.5,0,113,6.75,4.03,Cleveland Browns ,1,drafted,1041700,26,33.19230769,22.88461538,300.7692308,0.846153846,2.423076923,13.26923077,83.42307692,1.153846154
153,2012,Jordan Jefferson,QB,0,LSU,College Stats,76,223,4.58,36.5,14,116,6.81,4.06,0,8,undrafted,1016820,42,16.14285714,9.452380952,112.6904762,0.476190476,0.80952381,8.547619048,24.23809524,0.285714286
65,2014,Jordan Lynch,QB,0,Northern Illinois,College Stats,73,217,4.76,29.5,0,109,6.55,4.2,0,8,undrafted,1025368,50,16.48,10.18,124.18,0.28,1.02,13.24,86.86,0.96
44,2007,Jordan Palmer,QB,0,Texas-El Paso,College Stats,78,231,4.98,30.5,0,104,7.32,4.58,Washington Redskins ,6,drafted,52073,24,35.95833333,22.5,295.75,1.375,2.291666667,4.291666667,-5.666666667,0.125
92,2009,Josh Freeman,QB,41,Kansas State,College Stats,78,248,4.9,33.5,0,119,7.11,4.43,Tampa Bay Buccaneers ,1,drafted,1001547,35,32.88571429,19.42857143,230.8,0.971428571,1.257142857,6.114285714,9.8,0.571428571
49,2011,Josh Portis,QB,0,California (PA),0,75,211,4.59,40,0,126,6.84,4.12,0,8,undrafted,83623,14,1,0.5,6.071428571,0.071428571,0,4.285714286,24.92857143,0.071428571
122,2007,Josh Swogger,QB,0,Montana,0,76,237,5.12,28.5,0,107,7.25,4.76,0,8,undrafted,75932,3,6,3,49,0,0.333333333,0.666666667,0,0
122,2007,Josh Swogger,QB,0,Montana,0,76,237,5.12,28.5,0,107,7.25,4.76,0,8,undrafted,1005899,1,28,16,123,1,1,6,-9,0
150,2016,Josh Woodrum,QB,0,Liberty,0,75,231,4.8,31,0,116,6.74,4.31,Rk,8,undrafted,1043326,2,12.5,7.5,99,0,0.5,3,-5.5,0
8,2014,Keith Wenning,QB,0,Ball State,College Stats,75,218,5,28,0,100,7.07,4.25,Baltimore Ravens ,6,drafted,1031106,48,34.20833333,21.5625,237.5416667,0.875,1.916666667,3.958333333,6.833333333,0.270833333
103,2006,Kellen Clemens,QB,10,Oregon,College Stats,74,224,4.89,0,0,0,0,0,New York Jets ,2,drafted,37773,8,36.125,23.125,300.75,0.5,2.375,8.625,28.5,0
