Player_Code,Player Name,Position,Game Played,Pass Att,Pass Comp,Pass Yard,Pass Int,Pass TD,Rush Att,Rush Yard,Rush TD,Rec,Rec Yards,Rec TD,Tackle Solo,Int Ret,Sack
1015169, Francis,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86174, Franklin,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86873, Frericks,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87066, Gabourel,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1038351, Gaddis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84784, Gaines,0,41,0,0,0,0,0,0,0,0,0,0,0,55,0,8.5
87270, Gano,0,43,0,0,0,0,0,3,40,0,0,0,0,3,0,0
1015145, Gardner,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87089, Garvin,0,44,0,0,0,0,0,0,0,0,0,0,0,91,2,2
84984, Gibbs,0,2,0,0,0,0,0,10,19,0,3,11,0,0,0,0
86932, Graham,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84804, Green,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84966, Green,0,14,0,0,0,0,0,0,0,0,0,0,0,18,0,0
86128, Green,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
87418, Green,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84910, Greenwood,0,43,0,0,0,0,0,0,0,0,0,0,0,47,0,11.5
86803, Griffith,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86185, Guion,0,25,0,0,0,0,0,0,0,0,0,0,0,32,0,1.5
87272, Gurnett,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84955, Hadnot,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0
85063, Hall,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0,0
1015173, Hamilton,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1015178, Hampton,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
86186, Haney,0,2,0,0,0,0,0,0,0,0,3,14,0,0,0,0
84970, Hardeway,0,32,0,0,0,0,0,0,0,0,0,0,0,57,0,16
87345, Harrington,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
84650, Hartung,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1015164, Hennessey,0,37,0,0,0,0,0,0,0,0,0,0,0,78,0,6.5
87079, Hicks,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0
85994, Hill,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84974, Holt,0,40,0,0,0,0,0,0,0,0,0,0,0,128,1,12
