Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted,Round,Draft_Outcome,Player_Code,Position,Pass Att,Pass Comp,Pass Yard,Pass Int,Pass TD,Rush Att,Rush Yard,Rush TD,Rec,Rec Yards,Rec TD,Tackle Solo,Int Ret,Sack
2,2002,Mike Williams,OT,27.0,Texas,College Stats,78,375,5.3,30.0,29.0,102.0,0.0,0.0,Buffalo Bills ,1,drafted,1003546,WR,0,0,0,0,0,1,-7,0,133,2044,20,1,0,0.0
6,2002,Javon Walker,WR,42.0,Florida State,College Stats,75,210,4.38,39.5,0.0,128.0,6.86,4.05,Green Bay Packers ,1,drafted,1002572,DB,0,0,0,0,0,0,0,0,0,0,0,19,0,0.0
23,2002,Victor Rogers,OG,0.0,Colorado,0,78,331,5.57,25.0,20.0,93.0,9.0,5.16,Detroit Lions ,7,drafted,1005770,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,2002,Adrian Peterson,RB,12.0,Georgia Southern,0,70,214,4.68,34.0,14.0,119.0,7.59,4.6,Chicago Bears ,6,drafted,72626,RB,0,0,0,0,0,409,2116,26,19,186,1,1,0,0.0
36,2002,Josh Norman,TE,3.0,Oklahoma,College Stats,74,236,4.65,32.0,18.0,115.0,0.0,0.0,0,8,undrafted,1022753,C,0,0,0,0,0,0,0,0,0,0,0,20,2,0.0
55,2002,Daryl Jones,WR,1.0,Miami (FL),College Stats,69,180,4.35,0.0,0.0,0.0,0.0,0.0,New York Giants ,7,drafted,82794,WR,0,0,0,0,0,2,27,0,41,441,3,1,0,0.0
58,2002,Kyle Johnson,FB,4.0,Syracuse,College Stats,73,242,4.74,34.0,22.0,119.0,7.4,4.35,Carolina Panthers ,5,drafted,80294,WR,0,0,0,0,0,0,0,0,3,16,0,2,0,0.0
73,2002,William Green,RB,15.0,Boston College,College Stats,73,221,4.6,42.0,27.0,121.0,0.0,0.0,Cleveland Browns ,1,drafted,1016314,DE,0,0,0,0,0,0,0,0,0,0,0,31,0,2.5
94,2002,Tim Carter,WR,10.0,Auburn,College Stats,73,190,4.32,39.0,0.0,126.0,6.68,3.93,New York Giants ,2,drafted,1053519,DL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
107,2002,Mike Banks,TE,0.0,Iowa State,College Stats,76,260,4.84,31.5,0.0,104.0,0.0,0.0,Arizona Cardinals ,7,drafted,1052439,DB,0,0,0,0,0,0,0,0,0,0,0,7,0,0.0
108,2002,Chris Baker,TE,15.0,Michigan State,College Stats,75,258,4.81,35.0,18.0,112.0,6.95,0.0,New York Jets ,3,drafted,66255,WR,0,0,0,0,0,0,0,0,4,72,2,0,0,0.0
111,2002,Brian Allen,RB,0.0,Stanford,College Stats,69,209,4.46,33.0,19.0,112.0,6.9,4.08,Indianapolis Colts ,6,drafted,1050132,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
122,2002,Derek Smith,TE,0.0,Kentucky,College Stats,76,271,4.9,28.5,16.0,112.0,7.46,4.38,0,8,undrafted,1007343,RB,0,0,0,0,0,1,2,0,0,0,0,0,0,0.0
160,2002,David Neill,QB,0.0,Nevada,College Stats,75,206,4.95,30.0,0.0,108.0,7.28,4.44,0,8,undrafted,1011332,DL,0,0,0,0,0,0,0,0,0,0,0,2,0,1.0
62,2003,Robert Johnson,TE,0.0,Auburn,College Stats,78,278,4.96,33.5,18.0,115.0,7.15,4.47,0,8,undrafted,72821,QB,187,103,1005,8,5,41,16,1,19,299,4,2,0,0.0
67,2003,Andre Johnson,WR,125.0,Miami (FL),College Stats,74,230,4.41,39.0,0.0,132.0,0.0,0.0,Houston Texans ,1,drafted,1053629,LB,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0
96,2003,Chris Davis,FB,0.0,Syracuse,College Stats,71,235,4.56,38.5,21.0,116.0,7.25,4.37,Seattle Seahawks ,5,drafted,52709,WR,0,0,0,0,0,7,32,0,23,220,1,0,0,0.0
97,2003,Anthony Davis,OG,13.0,Virginia Tech,0,76,329,5.34,27.5,0.0,95.0,8.26,4.98,0,8,undrafted,75908,DL,0,0,0,0,0,0,0,0,0,0,0,28,0,0.0
146,2003,Alex Jackson,OG,0.0,Georgia,0,76,356,5.4,0.0,0.0,0.0,0.0,0.0,0,8,undrafted,1026234,TE,0,0,0,0,0,0,0,0,17,226,2,1,0,0.0
148,2003,Ben Johnson,OT,0.0,Wisconsin,0,78,329,5.37,0.0,30.0,0.0,0.0,0.0,0,8,undrafted,1010406,LB,0,0,0,0,0,0,0,0,0,0,0,48,2,3.0
2,2004,Jason Wright,RB,10.0,Northwestern,College Stats,70,210,4.68,30.0,0.0,111.0,7.35,4.12,0,8,undrafted,58580,P,0,0,0,0,0,2,-6,0,0,0,0,0,0,0.0
6,2004,Mark Wilson,OT,0.0,California,College Stats,79,314,5.36,28.5,24.0,108.0,7.53,4.49,Washington Redskins ,5,drafted,1034411,LB,0,0,0,0,0,0,0,0,0,0,0,64,0,1.0
11,2004,Reggie Williams,WR,25.0,Washington,College Stats,76,229,4.56,0.0,0.0,0.0,0.0,0.0,Jacksonville Jaguars ,1,drafted,1025644,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,2004,Michael Turner,RB,62.0,Northern Illinois,College Stats,70,237,4.49,31.0,22.0,114.0,7.5,4.15,San Diego Chargers ,5,drafted,47617,OL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,2004,Jonathan Smith,WR,2.0,Georgia Tech,College Stats,70,194,4.78,32.5,0.0,114.0,0.0,4.35,Buffalo Bills ,7,drafted,1010065,DB,0,0,0,0,0,0,0,0,0,0,0,42,0,0.0
31,2004,Jake Scott,OT,69.0,Idaho,0,77,281,5.06,34.5,24.0,110.0,7.96,4.68,Indianapolis Colts ,5,drafted,84140,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,2004,Josh Harris,QB,0.0,Bowling Green,College Stats,73,238,4.78,31.0,0.0,115.0,0.0,0.0,Baltimore Ravens ,6,drafted,49247,QB,15,9,73,0,0,6,-6,0,0,0,0,0,0,0.0
