Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted,Round,Draft_Outcome,Player_Code,Game Played,Pass Att,Pass Comp,Pass Yard,Pass Int,Pass TD,Rush Att,Rush Yard,Rush TD,Rec,Rec Yards,Rec TD,Tackle Solo,Int Ret,Sack
18,2007,Isaiah Stanback,QB,0.0,Washington,College Stats,74,216,4.6,0.0,22.0,0.0,0.0,0.0,Dallas Cowboys ,4,drafted,56783.0,18,453.0,244.0,3461.0,9.0,19.0,185.0,703.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
19,2007,Drew Stanton,QB,10.0,Michigan State,College Stats,75,226,4.75,30.5,0.0,108.0,6.77,4.41,Detroit Lions ,2,drafted,49193.0,22,623.0,400.0,4884.0,22.0,34.0,231.0,783.0,9.0,1.0,-6.0,0.0,3.0,0.0,0.0
23,2007,Troy Smith,QB,6.0,Ohio State,College Stats,73,225,4.72,0.0,0.0,0.0,0.0,0.0,Baltimore Ravens ,5,drafted,44309.0,24,548.0,352.0,4824.0,10.0,46.0,208.0,815.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0
29,2007,JaMarcus Russell,QB,6.0,LSU,College Stats,77,265,4.83,0.0,0.0,0.0,0.0,0.0,Oakland Raiders ,1,drafted,62595.0,25,653.0,420.0,5572.0,17.0,43.0,113.0,120.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0
31,2007,Jeff Rowe,QB,0.0,Nevada,College Stats,77,226,4.91,29.5,0.0,114.0,7.16,4.42,Cincinnati Bengals ,5,drafted,49736.0,24,655.0,413.0,4832.0,18.0,38.0,212.0,452.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0
39,2007,Brady Quinn,QB,2.0,Notre Dame,College Stats,76,232,4.73,0.0,24.0,0.0,0.0,0.0,Cleveland Browns ,1,drafted,60149.0,25,917.0,581.0,7345.0,14.0,69.0,152.0,161.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2007,Jordan Palmer,QB,0.0,Texas-El Paso,College Stats,78,231,4.98,30.5,0.0,104.0,7.32,4.58,Washington Redskins ,6,drafted,52073.0,24,863.0,540.0,7098.0,33.0,55.0,103.0,-136.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0
45,2007,Tyler Palko,QB,2.0,Pittsburgh,College Stats,73,215,4.83,31.5,0.0,112.0,7.05,4.36,0,8,undrafted,50480.0,23,663.0,413.0,5263.0,18.0,42.0,136.0,-62.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0
58,2007,Kevin Kolb,QB,13.0,Houston,College Stats,75,218,4.85,32.5,0.0,112.0,6.94,4.44,Philadelphia Eagles ,2,drafted,56345.0,26,852.0,546.0,7067.0,19.0,49.0,215.0,354.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0
77,2007,Matt Gutierrez,QB,0.0,Idaho State,College Stats,76,232,5.0,29.5,0.0,108.0,6.99,4.28,0,8,undrafted,49215.0,3,22.0,14.0,133.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2007,Matt Gutierrez,QB,0.0,Idaho State,College Stats,76,232,5.0,29.5,0.0,108.0,6.99,4.28,0,8,undrafted,1005498.0,2,69.0,41.0,534.0,3.0,3.0,8.0,-21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2007,Trent Edwards,QB,18.0,Stanford,College Stats,76,231,4.76,0.0,19.0,0.0,7.14,4.46,Buffalo Bills ,3,drafted,51683.0,18,424.0,262.0,2961.0,13.0,23.0,143.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2007,John Beck,QB,4.0,BYU,College Stats,74,215,4.75,29.5,0.0,111.0,6.81,4.17,Miami Dolphins ,2,drafted,79667.0,24,930.0,620.0,7594.0,21.0,59.0,123.0,53.0,8.0,1.0,3.0,0.0,1.0,0.0,0.0
111,2007,Jared Zabransky,QB,0.0,Boise State,College Stats,74,219,4.56,35.5,0.0,111.0,6.78,4.08,0,8,undrafted,45864.0,26,630.0,393.0,5149.0,24.0,41.0,205.0,459.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
119,2007,Zac Taylor,QB,0.0,Nebraska,College Stats,74,216,5.06,30.5,0.0,110.0,7.39,4.6,0,8,undrafted,83163.0,26,821.0,470.0,5850.0,20.0,45.0,136.0,-73.0,2.0,1.0,-4.0,0.0,2.0,0.0,0.0
122,2007,Josh Swogger,QB,0.0,Montana,0,76,237,5.12,28.5,0.0,107.0,7.25,4.76,0,8,undrafted,75932.0,3,18.0,9.0,147.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,2007,Josh Swogger,QB,0.0,Montana,0,76,237,5.12,28.5,0.0,107.0,7.25,4.76,0,8,undrafted,1005899.0,1,28.0,16.0,123.0,1.0,1.0,6.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,2007,John Stocco,QB,0.0,Wisconsin,College Stats,74,207,5.08,27.0,0.0,104.0,7.29,4.6,0,8,undrafted,44444.0,24,596.0,355.0,5105.0,15.0,38.0,134.0,-111.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0
139,2007,Luke Getsy,QB,0.0,Akron,College Stats,74,222,4.96,32.5,0.0,106.0,6.95,4.46,0,8,undrafted,85466.0,25,905.0,477.0,6117.0,23.0,41.0,114.0,-171.0,1.0,1.0,24.0,0.0,0.0,0.0,0.0
147,2007,Chris Leak,QB,0.0,Florida,College Stats,73,209,4.74,32.5,0.0,113.0,7.03,4.41,0,8,undrafted,57616.0,26,739.0,467.0,5581.0,19.0,43.0,182.0,111.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0
159,2007,James Pinkney,QB,0.0,East Carolina,College Stats,74,208,4.79,34.0,0.0,112.0,7.35,4.49,0,8,undrafted,56377.0,24,763.0,454.0,5556.0,18.0,26.0,200.0,409.0,11.0,1.0,-12.0,0.0,1.0,0.0,0.0
3,2008,Andre Woodson,QB,0.0,Michigan State,College Stats,76,229,4.85,0.0,0.0,0.0,0.0,0.0,New York Giants ,6,drafted,64431.0,37,1190.0,737.0,8868.0,24.0,77.0,196.0,-463.0,5.0,1.0,5.0,0.0,1.0,0.0,0.0
29,2008,Matt Ryan,QB,150.0,Boston College,College Stats,77,228,4.89,0.0,0.0,0.0,7.4,4.51,Atlanta Falcons ,1,drafted,57746.0,36,1275.0,771.0,8960.0,34.0,54.0,156.0,66.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0
45,2008,Kevin O'Connell,QB,0.0,San Diego State,College Stats,77,225,4.61,31.0,0.0,113.0,7.01,4.38,New England Patriots ,3,drafted,58076.0,30,915.0,549.0,6361.0,25.0,37.0,321.0,983.0,18.0,2.0,44.0,0.0,2.0,0.0,0.0
76,2008,Chad Henne,QB,29.0,Michigan,College Stats,75,230,4.92,25.5,0.0,106.0,7.17,4.4,Miami Dolphins ,2,drafted,74115.0,35,988.0,588.0,6972.0,25.0,62.0,125.0,-178.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
91,2008,Matt Flynn,QB,8.0,LSU,College Stats,74,231,4.79,28.0,0.0,109.0,7.21,4.34,Green Bay Packers ,7,drafted,62597.0,25,427.0,241.0,2997.0,13.0,30.0,125.0,345.0,5.0,1.0,35.0,0.0,0.0,0.0,0.0
92,2008,Joe Flacco,QB,106.0,Delaware,College Stats,78,236,4.84,28.5,0.0,110.0,6.82,4.27,Baltimore Ravens ,1,drafted,1012671.0,1,41.0,30.0,434.0,0.0,4.0,2.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2008,Dennis Dixon,QB,2.0,Oregon,College Stats,75,195,4.58,0.0,0.0,0.0,0.0,0.0,Pittsburgh Steelers ,5,drafted,77003.0,33,679.0,437.0,5049.0,21.0,38.0,248.0,1175.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0
118,2008,Brian Brohm,QB,0.0,Louisville,College Stats,75,230,4.81,30.0,0.0,115.0,7.13,4.55,Green Bay Packers ,2,drafted,73808.0,33,1088.0,714.0,9956.0,22.0,65.0,144.0,-37.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0
119,2008,Alex Brink,QB,0.0,Washington State,College Stats,74,211,4.96,28.0,0.0,112.0,7.22,4.19,Houston Texans ,7,drafted,64890.0,35,1257.0,751.0,9608.0,38.0,69.0,197.0,148.0,4.0,1.0,4.0,1.0,3.0,0.0,0.0
120,2008,Colt Brennan,QB,0.0,Hawaii,College Stats,74,207,4.79,0.0,0.0,0.0,0.0,0.0,Washington Redskins ,6,drafted,84992.0,38,1584.0,1115.0,14193.0,42.0,131.0,267.0,547.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0
122,2008,John David Booty,QB,0.0,Southern California,College Stats,74,218,4.82,22.5,0.0,99.0,0.0,4.58,0,8,undrafted,56615.0,31,816.0,509.0,5988.0,21.0,55.0,60.0,-170.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
134,2008,Erik Ainge,QB,0.0,Tennessee,College Stats,77,225,4.98,21.5,0.0,108.0,7.51,4.6,New York Jets ,5,drafted,75071.0,34,1012.0,624.0,7248.0,26.0,55.0,67.0,-206.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
135,2008,Kyle Wright,QB,0.0,Miami (FL),College Stats,75,218,4.85,25.5,0.0,105.0,7.34,4.32,0,8,undrafted,59912.0,31,798.0,473.0,5805.0,31.0,38.0,200.0,-56.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
135,2008,Kyle Wright,QB,0.0,Miami (FL),College Stats,75,218,4.85,25.5,0.0,105.0,7.34,4.32,0,8,undrafted,83503.0,14,39.0,15.0,148.0,1.0,2.0,9.0,-42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,2008,Adam Tafralis,QB,0.0,San Jose State,College Stats,73,221,4.78,32.0,0.0,108.0,7.14,4.33,0,8,undrafted,59620.0,36,962.0,574.0,7116.0,28.0,50.0,212.0,511.0,7.0,3.0,25.0,0.0,4.0,0.0,0.0
140,2008,Paul Smith,QB,0.0,Tulsa,College Stats,73,208,4.95,26.5,0.0,111.0,7.02,4.29,0,8,undrafted,55984.0,40,1258.0,787.0,10639.0,34.0,82.0,317.0,665.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0
163,2008,Sam Keller,QB,0.0,Nebraska,College Stats,76,241,4.99,24.0,0.0,107.0,7.07,4.35,0,8,undrafted,61840.0,17,589.0,360.0,4587.0,19.0,34.0,45.0,-172.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
167,2008,Anthony Morelli,QB,0.0,Penn State,College Stats,76,231,5.07,26.5,16.0,108.0,7.43,4.6,0,8,undrafted,85990.0,29,808.0,455.0,5230.0,18.0,31.0,91.0,-109.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
168,2008,Bernard Morris,QB,0.0,Marshall,College Stats,75,223,4.68,24.5,18.0,109.0,0.0,0.0,0,8,undrafted,59474.0,32,802.0,483.0,5616.0,28.0,31.0,287.0,1068.0,10.0,2.0,-5.0,0.0,1.0,0.0,0.0
169,2008,T.C. Ostrander,QB,0.0,Stanford,College Stats,74,227,4.92,0.0,0.0,0.0,0.0,0.0,0,8,undrafted,62158.0,24,454.0,241.0,2869.0,9.0,11.0,98.0,-382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2009,John Parker Wilson,QB,0.0,Alabama,College Stats,73,219,4.75,29.5,0.0,105.0,7.53,4.59,0,8,undrafted,84902.0,45,1175.0,665.0,7924.0,30.0,47.0,238.0,175.0,11.0,1.0,-4.0,0.0,3.0,0.0,0.0
4,2009,Drew Willy,QB,0.0,Buffalo,College Stats,75,215,4.9,30.5,0.0,109.0,7.18,4.45,0,8,undrafted,78338.0,44,1322.0,849.0,8748.0,30.0,52.0,275.0,-193.0,7.0,1.0,-17.0,0.0,0.0,0.0,0.0
6,2009,Pat White,QB,1.0,West Virginia,College Stats,73,197,4.55,35.0,0.0,117.0,7.06,4.42,Miami Dolphins ,2,drafted,84069.0,49,783.0,507.0,6049.0,23.0,56.0,684.0,4480.0,47.0,0.0,0.0,0.0,2.0,0.0,0.0
20,2009,Matthew Stafford,QB,101.0,Georgia,College Stats,74,225,4.81,30.5,0.0,107.0,7.06,4.47,Detroit Lions ,1,drafted,1001227.0,39,987.0,564.0,7731.0,33.0,51.0,141.0,213.0,6.0,1.0,-6.0,0.0,2.0,0.0,0.0
28,2009,Mark Sanchez,QB,38.0,Southern California,College Stats,74,227,4.93,32.5,0.0,116.0,7.06,4.21,New York Jets ,1,drafted,80972.0,22,487.0,313.0,3965.0,16.0,41.0,70.0,33.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2009,Curtis Painter,QB,2.0,Purdue,College Stats,75,225,4.87,29.0,0.0,102.0,7.0,4.48,Indianapolis Colts ,6,drafted,70907.0,46,1648.0,987.0,11163.0,46.0,67.0,225.0,343.0,13.0,1.0,19.0,0.0,4.0,0.0,0.0
57,2009,Stephen McGee,QB,2.0,Texas A&M,College Stats,75,225,4.61,33.0,0.0,112.0,7.34,4.49,Dallas Cowboys ,4,drafted,69613.0,39,815.0,485.0,5475.0,13.0,28.0,387.0,1750.0,11.0,1.0,12.0,0.0,4.0,0.0,0.0
78,2009,Brian Hoyer,QB,24.0,Michigan State,College Stats,74,215,5.02,32.0,0.0,109.0,7.1,4.42,0,8,undrafted,84654.0,37,896.0,500.0,6159.0,23.0,35.0,105.0,-229.0,2.0,1.0,24.0,0.0,2.0,0.0,0.0
84,2009,Graham Harrell,QB,0.0,Texas Tech,College Stats,74,223,4.95,29.5,0.0,98.0,7.45,4.56,0,8,undrafted,85839.0,45,2011.0,1403.0,15793.0,34.0,134.0,113.0,-182.0,12.0,1.0,-1.0,0.0,0.0,0.0,0.0
92,2009,Josh Freeman,QB,41.0,Kansas State,College Stats,78,248,4.9,33.5,0.0,119.0,7.11,4.43,Tampa Bay Buccaneers ,1,drafted,1001547.0,35,1151.0,680.0,8078.0,34.0,44.0,214.0,343.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0
102,2009,Nate Davis,QB,0.0,Ball State,College Stats,73,226,4.95,26.5,0.0,99.0,0.0,0.0,San Francisco 49ers ,5,drafted,1000275.0,39,1124.0,678.0,9233.0,22.0,74.0,173.0,499.0,10.0,3.0,28.0,1.0,1.0,0.0,0.0
105,2009,Chase Daniel,QB,2.0,Missouri,College Stats,73,218,4.79,33.0,0.0,0.0,7.28,4.31,0,8,undrafted,84632.0,51,1610.0,1094.0,12515.0,41.0,101.0,363.0,981.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0
113,2009,Rudy Carpenter,QB,0.0,Arizona State,College Stats,74,218,4.89,29.0,11.0,100.0,7.25,4.47,0,8,undrafted,69289.0,47,1309.0,799.0,10491.0,35.0,81.0,271.0,-295.0,2.0,3.0,-14.0,0.0,1.0,0.0,0.0
