Pos,Unnamed: 0,Year,Player,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,Age,Team,All Pro,Pro Bowl,AV,Games,Pass Completions,Pass Attempts,Pass Yards,Pass TDs,Interceptions,Rush Attempts,Rush Yards,Rush TDs,Receptions,Receiving Yards,Receiving TDs,Tackles,Picks,Sacks
RB,126,2001,Deuce McAllister,73.0,222,4.41,0.0,0.0,0.0,0.0,0.0,New Orleans Saints ,1.0,23,22.0,NOR,0,2,55.0,97.0,1.0,4.0,12.0,1.0,0.0,1429.0,6096.0,49.0,234.0,1720.0,5.0,13.0,0.0,0
RB,132,2001,George Layne,71.0,242,4.59,32.0,0.0,115.0,7.08,4.19,Kansas City Chiefs ,4.0,108,22.0,KAN,0,0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,32.0,0.0,4.0,20.0,0.0,8.0,0.0,0
RB,136,2001,Rudi Johnson,70.0,227,4.57,37.5,24.0,119.0,7.32,4.22,Cincinnati Bengals ,4.0,100,21.0,CIN,0,1,47.0,95.0,0.0,0.0,0.0,0.0,0.0,1517.0,5979.0,49.0,113.0,676.0,2.0,2.0,0.0,0
RB,140,2001,James Jackson,70.0,210,4.55,0.0,0.0,0.0,0.0,0.0,Cleveland Browns ,3.0,65,25.0,CLE,0,0,9.0,52.0,0.0,0.0,0.0,0.0,0.0,325.0,1082.0,5.0,32.0,232.0,0.0,4.0,0.0,0
RB,144,2001,Travis Henry,69.0,223,4.61,0.0,23.0,0.0,0.0,0.0,Buffalo Bills ,2.0,58,22.0,BUF,0,1,41.0,90.0,0.0,1.0,0.0,0.0,1.0,1488.0,6086.0,38.0,141.0,951.0,2.0,5.0,0.0,0
RB,163,2001,Correll Buckhalter,73.0,226,4.53,40.0,11.0,123.0,7.08,4.06,Philadelphia Eagles ,4.0,121,22.0,PHI,0,0,28.0,103.0,0.0,0.0,0.0,0.0,0.0,655.0,2944.0,21.0,144.0,1410.0,6.0,15.0,0.0,0
RB,166,2001,Derrick Blaylock,70.0,194,4.36,35.5,18.0,119.0,7.05,4.09,Kansas City Chiefs ,5.0,150,22.0,KAN,0,0,12.0,51.0,0.0,0.0,0.0,0.0,0.0,198.0,820.0,10.0,53.0,520.0,2.0,21.0,0.0,0
RB,168,2001,Michael Bennett,69.0,207,4.38,39.5,13.0,130.0,0.0,0.0,Minnesota Vikings ,1.0,27,23.0,MIN,0,1,34.0,109.0,0.0,0.0,0.0,0.0,0.0,842.0,3703.0,13.0,159.0,1294.0,6.0,15.0,0.0,0
RB,169,2001,Kevan Barlow,73.0,235,4.56,0.0,0.0,0.0,0.0,0.0,San Francisco 49ers ,3.0,80,22.0,SFO,0,0,36.0,84.0,0.0,0.0,0.0,0.0,0.0,1022.0,3984.0,30.0,144.0,1164.0,3.0,3.0,0.0,0
RB,174,2002,Brian Westbrook,68.0,200,4.57,37.0,26.0,118.0,7.09,0.0,Philadelphia Eagles ,3.0,91,23.0,PHI,1,2,69.0,121.0,1.0,2.0,25.0,1.0,0.0,1385.0,6335.0,41.0,442.0,3940.0,30.0,16.0,0.0,0
RB,175,2002,Jonathan Wells,73.0,243,4.52,0.0,0.0,0.0,0.0,0.0,Houston Texans ,4.0,99,23.0,HOU,0,0,10.0,60.0,0.0,0.0,0.0,0.0,0.0,374.0,1167.0,10.0,44.0,323.0,2.0,20.0,0.0,0
RB,178,2002,Chester Taylor,71.0,213,4.58,33.0,22.0,114.0,0.0,0.0,Baltimore Ravens ,6.0,207,23.0,BAL,0,0,39.0,151.0,1.0,2.0,4.0,1.0,0.0,1160.0,4740.0,26.0,299.0,2324.0,6.0,32.0,0.0,0
RB,182,2002,Travis Stephens,68.0,194,4.6,32.0,15.0,121.0,0.0,0.0,Tampa Bay Buccaneers ,4.0,119,24.0,TAM,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0
RB,187,2002,Josh Scobey,71.0,218,4.42,40.5,21.0,124.0,6.96,3.93,Arizona Cardinals ,6.0,185,22.0,ARI,0,0,3.0,62.0,0.0,0.0,0.0,0.0,0.0,27.0,89.0,0.0,19.0,200.0,0.0,35.0,0.0,0
RB,198,2002,Clinton Portis,71.0,204,4.42,0.0,0.0,0.0,0.0,0.0,Denver Broncos ,2.0,51,21.0,DEN,0,2,71.0,113.0,3.0,6.0,47.0,3.0,0.0,2230.0,9923.0,75.0,247.0,2018.0,5.0,16.0,0.0,0
RB,201,2002,Adrian Peterson,70.0,214,4.68,34.0,14.0,119.0,7.59,4.6,Chicago Bears ,6.0,199,23.0,CHI,0,0,11.0,106.0,1.0,1.0,9.0,1.0,0.0,311.0,1283.0,8.0,78.0,665.0,0.0,62.0,0.0,0
